Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),HeuristicDistance (km),PeriodName,ChosenTime,Weekday,Weekend,PublicHoliday,PeakHour,OriginalHeuristicDistance
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Morning,06:30:00,0,0,1,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Morning Peak,08:30:00,0,0,1,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Late Morning,10:45:00,0,0,1,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Lunch Peak,13:00:00,0,0,1,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Afternoon,15:30:00,0,0,1,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Evening Peak,18:30:00,0,0,1,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Evening,21:00:00,0,0,1,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Late Night Non-peak,23:30:00,0,0,1,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.109194896612407,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Morning,06:30:00,1,0,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.111526616805983,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Morning Peak,08:30:00,1,0,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.118301803783546,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Late Morning,10:45:00,1,0,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.108886933567972,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Lunch Peak,13:00:00,1,0,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.117773867135944,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Afternoon,15:30:00,1,0,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.114562252529696,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Evening Peak,18:30:00,1,0,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.11236251649802,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Evening,21:00:00,1,0,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.122261328640563,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Late Night Non-peak,23:30:00,1,0,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.109194896612407,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Morning,06:30:00,0,1,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.111526616805983,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Morning Peak,08:30:00,0,1,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.118301803783546,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Late Morning,10:45:00,0,1,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.108886933567972,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Lunch Peak,13:00:00,0,1,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.117773867135944,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Afternoon,15:30:00,0,1,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.114562252529696,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Evening Peak,18:30:00,0,1,0,1,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.11236251649802,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Evening,21:00:00,0,1,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.122261328640563,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Late Night Non-peak,23:30:00,0,1,0,0,4.43369883876577
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0.109194896612407,0.0487197413265752,0.0442542913676884,0.5,0.16264834478451,0.256829345844539,Non-peak Morning,06:30:00,0,0,1,0,4.43369883876577
