Planning_Area,Subzone,Latitude,Longitude
Jurong East,Penjuru Crescent,1.303857155,103.7403308
Jurong East,Teban Gardens,1.314860942,103.7431556
Jurong East,Toh Guan,1.337486678,103.7461061
Jurong East,Yuhua East,1.340413017,103.7388367
Jurong East,Yuhua West,1.347009929,103.7319721
Jurong West,Boon Lay Place,1.345863708,103.7111483
Jurong West,Chin Bee,1.33497839,103.7131978
Jurong West,Hong Kah,1.349894513,103.7210696
Jurong West,Jurong West Central,1.340139516,103.7020987
Jurong West,Kian Teck,1.331511909,103.697904
Jurong West,Safti,1.334603225,103.6831722
Jurong West,Taman Jurong,1.334510038,103.721197
Jurong West,Wenya,1.355703807,103.707102
Jurong West,Yunnan,1.344554282,103.6948787
Kallang,Bendemeer,1.322202273,103.8618562
Kallang,Boon Keng,1.314884157,103.8723006
Kallang,Crawford,1.300762862,103.8638412
Kallang,Geylang Bahru,1.321639014,103.8702497
Kallang,Kallang Bahru,1.314077263,103.8654803
Kallang,Kampong Bugis,1.308164122,103.8705025
Kallang,Kampong Java,1.313706642,103.8503149
Kallang,Lavender,1.310821613,103.8591465
Kallang,Tanjong Rhu,1.300591046,103.8759107
Lim Chu Kang,Lim Chu Kang,1.430642785,103.7192855
Mandai,Mandai East,1.426781411,103.8130039
Mandai,Mandai Estate,1.426561676,103.8250758
Mandai,Mandai West,1.418316864,103.7843372
Marina East,Marina East,1.288517307,103.8723516
Marina South,Marina South,1.280531299,103.8656285
Marine Parade,East Coast,1.299691271,103.9086753
Marine Parade,Katong,1.307265047,103.9023351
Marine Parade,Marina East (Marine Parade),1.292215914,103.8846765
Marine Parade,Marine Parade,1.302814651,103.9075743
Marine Parade,Mountbatten,1.30167088,103.8912721
Museum,Bras Basah,1.296248479,103.8494303
Museum,Dhoby Ghaut,1.298849935,103.84518
Museum,Fort Canning,1.294032597,103.8460237
Newton,Cairnhill,1.306649596,103.8376556
Newton,Goodwood Park,1.313586756,103.8342969
Newton,Istana Negara,1.305339129,103.8443422
Newton,Monk's Hill,1.309097029,103.8417296
Newton,Newton Circus,1.311943999,103.8384163
Newton,Orange Grove,1.310055183,103.8303371
Novena,Balestier,1.325513456,103.8510674
Novena,Dunearn,1.326189834,103.8200696
Novena,Malcolm,1.323127709,103.8339499
Novena,Moulmein,1.317644217,103.8428202
Novena,Mount Pleasant,1.333820565,103.8289634
Orchard,Boulevard,1.305372768,103.8325721
Orchard,Somerset,1.300624802,103.8386633
Orchard,Tanglin,1.304818616,103.8257966
Outram,China Square,1.28438643,103.8468833
Outram,Chinatown,1.279790066,103.842499
Outram,Pearl's Hill,1.2856128,103.8394202
Outram,People's Park,1.281557854,103.8401388
Pasir Ris,Flora Drive,1.359301249,103.9663219
Pasir Ris,Loyang East,1.367978609,103.9734264
Pasir Ris,Loyang West,1.377010419,103.9707537
Pasir Ris,Pasir Ris Central,1.37206455,103.9479394
Pasir Ris,Pasir Ris Drive,1.368866789,103.9594099
Pasir Ris,Pasir Ris Park,1.378681565,103.9558445
Pasir Ris,Pasir Ris Wafer Fab Park,1.38884074,103.92868
Pasir Ris,Pasir Ris West,1.379286047,103.9398122
Paya Lebar,Airport Road,1.351569683,103.8974159
Paya Lebar,Paya Lebar East,1.355612055,103.9237632
Paya Lebar,Paya Lebar North,1.373165078,103.9257993
Paya Lebar,Paya Lebar West,1.373940064,103.91092
Paya Lebar,Plab,1.35749654,103.9114211
Pioneer,Benoi Sector,1.31775387,103.6865695
Pioneer,Gul Basin,1.304906913,103.676424
Pioneer,Gul Circle,1.315382449,103.6688299
Pioneer,Joo Koon,1.325595774,103.6795218
Pioneer,Pioneer Sector,1.300451089,103.6614519
Punggol,Coney Island,1.408327221,103.9225345
Punggol,Matilda,1.40269297,103.8970279
Punggol,Northshore,1.416208314,103.9067292
Punggol,Punggol Canal,1.406674186,103.9178649
Punggol,Punggol Field,1.394723436,103.9112604
Punggol,Punggol Town Centre,1.40901648,103.9016324
Punggol,Waterway East,1.401244981,103.9147591
Queenstown,Commonwealth,1.304947164,103.7998816
Queenstown,Dover,1.303866586,103.7795454
Queenstown,Ghim Moh,1.310915458,103.7874853
Queenstown,Holland Drive,1.308336668,103.7947838
Queenstown,Kent Ridge,1.285099874,103.7925684
Queenstown,Margaret Drive,1.297224014,103.8081842
Queenstown,Mei Chin,1.293472302,103.803227
Queenstown,National University Of Singapore,1.295994904,103.7766108
Queenstown,OneNorth,1.298220286,103.7910802
Queenstown,Pasir Panjang 1,1.286622688,103.7801011
Queenstown,Pasir Panjang 2,1.276723791,103.7961365
Queenstown,Port,1.282365565,103.7752169
Queenstown,Queensway,1.288525758,103.7988893
Queenstown,Singapore Polytechnic,1.311348974,103.777175
Queenstown,Tanglin Halt,1.301264689,103.7967068
River Valley,Institution Hill,1.294015854,103.8375004
River Valley,Leonie Hill,1.297939806,103.8340638
River Valley,One Tree Hill,1.301726274,103.8271686
River Valley,Oxley,1.29711288,103.8405281
River Valley,Paterson,1.301252182,103.8316052
Rochor,Bencoolen,1.302004737,103.8512811
Rochor,Farrer Park,1.309163834,103.8521289
Rochor,Kampong Glam,1.302262897,103.8596908
Rochor,Little India,1.30678335,103.8540527
Rochor,Mackenzie,1.306240187,103.8484143
Rochor,Mount Emily,1.302410703,103.8475449
Rochor,Rochor Canal,1.304035323,103.8575235
Rochor,Selegie,1.302153154,103.8496481
Rochor,Sungei Road,1.305699101,103.8566929
