"Planning_Area","Subzone","Latitude","Longitude"
"Bukit Timah","Leedon Park",1.316954472,103.796907172
"Bukit Timah","Swiss Club",1.34063686622,103.79231074
"Bukit Timah","Ulu Pandan",1.31631697011,103.781297066
"Central Water Catchment","Central Water Catchment",1.37665502853,103.801189262
"Changi","Changi Airport",1.34726454633,104.001006614
"Changi","Changi Point",1.39031870195,103.982515007
"Changi","Changi West",1.36521738787,103.978751245
"Changi Bay","Changi Bay",1.32237731385,104.025424874
"Choa Chu Kang","Choa Chu Kang Central",1.38500877,103.747645425
"Choa Chu Kang","Choa Chu Kang North",1.39243214095,103.746583904
"Choa Chu Kang","Keat Hong",1.37549210304,103.746459666
"Choa Chu Kang","Peng Siang",1.37876839977,103.737108379
"Choa Chu Kang","Teck Whye",1.38158315202,103.754872976
"Choa Chu Kang","Yew Tee",1.40068278223,103.747936375
"Clementi","Clementi Central",1.31206889576,103.763083039
"Clementi","Clementi North",1.31804940924,103.766944797
"Clementi","Clementi West",1.30252192742,103.763091392
"Clementi","Clementi Woods",1.30408534204,103.768301552
"Clementi","Faber",1.32195636355,103.756848658
"Clementi","Pandan",1.30807010034,103.754503395
"Clementi","Sunset Way",1.32628486112,103.768670416
"Clementi","Toh Tuck",1.33175406177,103.756340353
"Clementi","West Coast",1.31627470295,103.755088634
"Downtown Core","Anson",1.27371791279,103.84360996
"Downtown Core","Bayfront",1.28333472525,103.858533762
"Downtown Core","Bugis",1.29914573413,103.856036798
"Downtown Core","Cecil",1.27864260763,103.848865061
"Downtown Core","Central",1.27567365904,103.852420001
"Downtown Core","City Hall",1.29243576615,103.853168045
"Downtown Core","Clifford Pier",1.28556190581,103.854699375
"Downtown Core","Marina Centre",1.29185075136,103.859718632
"Downtown Core","Maxwell",1.27941518164,103.845826655
"Downtown Core","Phillip",1.28527684331,103.848654176
"Downtown Core","Raffles Place",1.28372000024,103.851007382
"Downtown Core","Tanjong Pagar",1.27588451919,103.845878602
"Geylang","Aljunied",1.31445048951,103.883570673
"Geylang","Geylang East",1.31693921533,103.898348217
"Geylang","Kallang Way",1.32583557119,103.876103166
"Geylang","Kampong Ubi",1.32961124965,103.896572831
"Geylang","Macpherson",1.32736777215,103.885204255
"Hougang","Defu Industrial Park",1.3579169465,103.895781293
"Hougang","Hougang Central",1.36966866631,103.891462363
