Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,25.68,19.92,1243.78,0,5.77,2.53767519090704,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,CHOA CHU KANG POLYCLINIC,1.382356,103.752076,19.5,9.3,551.27,0,10.2,2.53767519090704,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.05,8.63,545.94,1,18.22,3.95204950133948,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,32.72,6.6,402.27,1,21.58,3.95204950133948,Weekday,Morning Peak,0,08:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,34.35,6.6,402.27,1,24.08,3.95204950133948,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekday,Evening Peak,0,18:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.05,8.63,545.94,1,18.22,3.95204950133948,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,32.72,6.6,402.27,1,21.58,3.95204950133948,Weekend,Morning Peak,0,08:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,34.35,6.6,402.27,1,24.08,3.95204950133948,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekend,Lunch Peak,0,13:00:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekend,Evening Peak,0,18:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.83,7.97,487.75,0,21.87,3.95204950133948,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,29.05,8.63,545.94,1,18.22,3.95204950133948,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,32.72,6.6,402.27,1,21.58,3.95204950133948,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT BATOK POLYCLINIC,1.352161,103.748974,34.35,6.6,402.27,1,24.08,3.95204950133948,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
