Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.15,11.92,753.09,1,13.02,4.43369883876577,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.68,11.92,753.09,1,13.02,4.43369883876577,Weekday,Morning Peak,0,08:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.22,11.92,753.09,1,13.02,4.43369883876577,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.08,11.92,753.09,1,13.02,4.43369883876577,Weekday,Lunch Peak,0,13:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.1,11.92,753.09,1,13.02,4.43369883876577,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,28.37,11.92,753.09,1,13.02,4.43369883876577,Weekday,Evening Peak,0,18:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.87,11.92,753.09,1,13.02,4.43369883876577,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,30.12,11.92,753.09,1,13.02,4.43369883876577,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.15,11.92,753.09,1,13.02,4.43369883876577,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.68,11.92,753.09,1,13.02,4.43369883876577,Weekend,Morning Peak,0,08:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.22,11.92,753.09,1,13.02,4.43369883876577,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.08,11.92,753.09,1,13.02,4.43369883876577,Weekend,Lunch Peak,0,13:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.1,11.92,753.09,1,13.02,4.43369883876577,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,28.37,11.92,753.09,1,13.02,4.43369883876577,Weekend,Evening Peak,0,18:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.87,11.92,753.09,1,13.02,4.43369883876577,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,30.12,11.92,753.09,1,13.02,4.43369883876577,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.15,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.68,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.22,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.08,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,29.1,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,28.37,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,27.87,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,30.12,11.92,753.09,1,13.02,4.43369883876577,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.78,5.5,337.53,1,22.38,4.73352161414705,Weekday,Morning Peak,0,08:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.4,5.5,337.53,1,22.13,4.73352161414705,Weekday,Lunch Peak,0,13:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.45,6.15,378.54,1,21.63,4.73352161414705,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,32.9,5.5,337.53,1,22.13,4.73352161414705,Weekday,Evening Peak,0,18:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.15,10.45,651.06,0,19.7,4.73352161414705,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.27,12.05,761.09,1,19.43,4.73352161414705,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.78,5.5,337.53,1,22.38,4.73352161414705,Weekend,Morning Peak,0,08:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.4,5.5,337.53,1,22.13,4.73352161414705,Weekend,Lunch Peak,0,13:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.45,6.15,378.54,1,21.63,4.73352161414705,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,32.9,5.5,337.53,1,22.13,4.73352161414705,Weekend,Evening Peak,0,18:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.15,10.45,651.06,0,19.7,4.73352161414705,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.27,12.05,761.09,1,19.43,4.73352161414705,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.78,5.5,337.53,1,22.38,4.73352161414705,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.0,16.98,1056.22,0,17.02,4.73352161414705,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.4,5.5,337.53,1,22.13,4.73352161414705,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,31.45,6.15,378.54,1,21.63,4.73352161414705,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,32.9,5.5,337.53,1,22.13,4.73352161414705,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,30.15,10.45,651.06,0,19.7,4.73352161414705,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,34.27,12.05,761.09,1,19.43,4.73352161414705,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Morning Peak,0,08:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Lunch Peak,0,13:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Evening Peak,0,18:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Morning Peak,0,08:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Lunch Peak,0,13:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Evening Peak,0,18:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
